customer_id,Segment,Attribute,Value
1,Platinum,recency,-0.937710836126745
2,Bronze,recency,1.1068154343607148
3,Bronze,recency,0.667495739875806
4,Bronze,recency,2.2389084932256718
5,Platinum,recency,-0.7856386341896612
6,Silver,recency,0.02541310947478564
7,Bronze,recency,3.218929350153545
8,Gold,recency,-0.6842571662316054
9,Silver,recency,0.26196986804358263
10,Gold,recency,-0.32942202837840984
11,Silver,recency,-0.27873129439938193
12,Silver,recency,0.07610384345381357
13,Gold,recency,-0.5997726095998921
14,Bronze,recency,-0.2618343830730393
15,Gold,recency,-0.464597318989151
16,Bronze,recency,0.6168050058967781
17,Platinum,recency,-1.0559892154111434
18,Bronze,recency,1.2081969023187706
19,Bronze,recency,3.6751459559647963
20,Gold,recency,-0.5321849642945216
21,Platinum,recency,-0.9546077474530876
22,Bronze,recency,0.5830111832440928
23,Platinum,recency,-0.8870201021477171
24,Platinum,recency,-0.7687417228633185
25,Platinum,recency,-0.9715046587794303
26,Bronze,recency,3.320310818111601
27,Bronze,recency,1.3602691042558543
28,Silver,recency,0.34645442467529586
29,Gold,recency,-0.6842571662316054
30,Gold,recency,-0.8701231908213745
31,Bronze,recency,0.4478358926333517
32,Bronze,recency,1.2757845476241412
33,Gold,recency,-0.41390658501012306
34,Bronze,recency,0.667495739875806
35,Bronze,recency,0.4985266266123796
36,Bronze,recency,1.6982073307827072
37,Platinum,recency,-0.937710836126745
38,Silver,recency,-0.21114364909401137
39,Gold,recency,-0.48149423031549365
40,Platinum,recency,-0.8194324568423464
41,Gold,recency,-0.5659787869472068
42,Bronze,recency,0.8195679418128898
43,Silver,recency,-0.02527762450424229
44,Gold,recency,-0.464597318989151
45,Silver,recency,-0.32942202837840984
46,Silver,recency,-0.16045291511498344
47,Gold,recency,-0.464597318989151
48,Silver,recency,0.3295575133489532
49,Gold,recency,-0.44770040766280833
50,Gold,recency,-0.6166695209262348
51,Silver,recency,-0.12665909246229815
52,Platinum,recency,-0.9884015701057729
53,Platinum,recency,-0.937710836126745
54,Silver,recency,0.07610384345381357
55,Silver,recency,-0.27873129439938193
56,Platinum,recency,-1.0221953927584582
57,Gold,recency,-0.464597318989151
58,Gold,recency,-0.7180509888842906
59,Silver,recency,-0.6842571662316054
60,Bronze,recency,2.323393049857385
61,Silver,recency,-0.2618343830730393
62,Platinum,recency,-0.9715046587794303
63,Silver,recency,0.09300075478015621
64,Platinum,recency,-1.0052984814321155
65,Bronze,recency,1.241990724971456
66,Gold,recency,-0.32942202837840984
67,Bronze,recency,0.9040524984446031
68,Silver,recency,0.3633513360016385
69,Gold,recency,-0.7180509888842906
70,Platinum,recency,-0.9884015701057729
71,Bronze,recency,1.1575061683397427
72,Silver,recency,-0.6842571662316054
73,Bronze,recency,1.7826918874144204
74,Silver,recency,-0.5828756982735495
75,Silver,recency,-0.04217453583058493
76,Platinum,recency,-1.0390923040848008
77,Bronze,recency,0.6505988285494634
78,Bronze,recency,2.509259074447154
79,Silver,recency,-0.2618343830730393
80,Gold,recency,-0.5828756982735495
81,Platinum,recency,-0.9884015701057729
82,Silver,recency,0.26196986804358263
83,Silver,recency,0.2957636906962679
84,Gold,recency,-0.5828756982735495
85,Gold,recency,-0.4308034963364657
86,Platinum,recency,-1.0559892154111434
87,Platinum,recency,-0.7518448115369759
88,Silver,recency,0.19438222273821207
89,Platinum,recency,-0.9884015701057729
90,Gold,recency,-0.5490818756208642
91,Platinum,recency,-0.9039170134740597
92,Gold,recency,-0.48149423031549365
93,Silver,recency,0.27886677936992527
94,Gold,recency,-0.4983911416418363
95,Gold,recency,-0.41390658501012306
96,Bronze,recency,0.1267945774328415
97,Bronze,recency,0.667495739875806
98,Bronze,recency,1.326475281603169
99,Platinum,recency,-1.0221953927584582
100,Gold,recency,-0.8701231908213745
101,Platinum,recency,-0.9208139248004024
102,Gold,recency,-0.3463189397047525
103,Bronze,recency,0.9040524984446031
104,Silver,recency,0.02541310947478564
105,Bronze,recency,0.4478358926333517
106,Gold,recency,-1.0390923040848008
107,Bronze,recency,0.3126606020226106
108,Gold,recency,-0.8870201021477171
109,Platinum,recency,-0.9208139248004024
110,Platinum,recency,-0.8194324568423464
111,Bronze,recency,1.4278567495612249
112,Silver,recency,-0.2618343830730393
113,Bronze,recency,1.900970266698819
114,Bronze,recency,0.1267945774328415
115,Platinum,recency,-0.8194324568423464
116,Platinum,recency,-0.8532262794950318
117,Platinum,recency,-0.9715046587794303
118,Silver,recency,0.10989766610649886
119,Gold,recency,-0.5490818756208642
120,Bronze,recency,1.1237123456870575
121,Bronze,recency,0.8195679418128898
122,Platinum,recency,-0.9208139248004024
123,Bronze,recency,2.1713208479203012
124,Platinum,recency,-1.0221953927584582
125,Silver,recency,0.34645442467529586
126,Gold,recency,-0.8701231908213745
127,Gold,recency,-0.6673602549052627
128,Bronze,recency,1.2588876362977985
129,Bronze,recency,1.951661000677847
130,Bronze,recency,0.22817604539089736
131,Bronze,recency,2.407877606489098
132,Platinum,recency,-0.937710836126745
133,Gold,recency,-0.6166695209262348
134,Platinum,recency,-0.8194324568423464
135,Bronze,recency,0.8871555871182604
136,Gold,recency,-0.7180509888842906
137,Gold,recency,-0.5997726095998921
138,Silver,recency,0.02541310947478564
139,Gold,recency,-0.6166695209262348
140,Platinum,recency,-1.0052984814321155
141,Bronze,recency,1.6306196854773367
142,Platinum,recency,-0.9884015701057729
143,Platinum,recency,-0.8363293681686892
144,Platinum,recency,-0.9546077474530876
145,Gold,recency,-0.5828756982735495
146,Bronze,recency,2.2220115818993293
147,Gold,recency,-0.48149423031549365
148,Gold,recency,-0.32942202837840984
149,Platinum,recency,-0.7518448115369759
150,Bronze,recency,0.2112791340645547
151,Platinum,recency,-1.0559892154111434
152,Bronze,recency,1.613722774150994
153,Silver,recency,0.02541310947478564
154,Gold,recency,-0.6673602549052627
155,Gold,recency,-0.9208139248004024
156,Platinum,recency,-0.7856386341896612
157,Bronze,recency,1.2250938136451133
158,Silver,recency,0.042310020801128286
159,Silver,recency,0.059206932127470926
160,Bronze,recency,0.5154235379387223
161,Bronze,recency,1.6306196854773367
162,Bronze,recency,0.5999080945704355
163,Bronze,recency,0.8702586757919177
164,Bronze,recency,2.2895992272047
165,Platinum,recency,-0.9208139248004024
166,Silver,recency,0.008516198148442997
167,Platinum,recency,-0.8194324568423464
168,Bronze,recency,1.241990724971456
169,Bronze,recency,-0.02527762450424229
170,Bronze,recency,2.8978880349530347
171,Platinum,recency,-0.7518448115369759
172,Platinum,recency,-0.8701231908213745
173,Platinum,recency,-0.8025355455160038
174,Platinum,recency,-0.8701231908213745
175,Silver,recency,0.02541310947478564
176,Gold,recency,-0.6842571662316054
177,Gold,recency,-0.4308034963364657
178,Silver,recency,-0.5152880529681789
179,Silver,recency,-0.3801127623574378
180,Platinum,recency,-0.8701231908213745
181,Silver,recency,-0.21114364909401137
182,Platinum,recency,-0.8363293681686892
183,Bronze,recency,0.667495739875806
184,Silver,recency,-0.5152880529681789
185,Platinum,recency,-0.9208139248004024
186,Gold,recency,-0.6673602549052627
187,Platinum,recency,-0.8194324568423464
188,Platinum,recency,-0.8025355455160038
189,Platinum,recency,-1.0052984814321155
190,Silver,recency,-0.5659787869472068
191,Bronze,recency,0.718186473854834
192,Bronze,recency,0.27886677936992527
193,Gold,recency,-0.6504633435789201
194,Bronze,recency,0.7688772078338619
195,Platinum,recency,-1.0559892154111434
196,Bronze,recency,1.4109598382348822
197,Gold,recency,-0.5997726095998921
198,Silver,recency,-0.07596835848327022
199,Platinum,recency,-0.8025355455160038
200,Platinum,recency,-0.937710836126745
201,Gold,recency,-0.5828756982735495
202,Gold,recency,-0.7518448115369759
203,Platinum,recency,-0.8701231908213745
204,Gold,recency,-0.5997726095998921
205,Silver,recency,-0.17734982644132607
206,Silver,recency,0.24507295671724
207,Bronze,recency,3.844115069228223
208,Gold,recency,-0.5997726095998921
209,Bronze,recency,0.7519802965075193
210,Gold,recency,-0.6842571662316054
211,Gold,recency,-0.39700967368378043
212,Bronze,recency,2.1037332026149307
213,Gold,recency,-0.5828756982735495
214,Silver,recency,-0.1097621811359555
215,Platinum,recency,-1.0052984814321155
216,Platinum,recency,-0.7856386341896612
217,Platinum,recency,-0.9884015701057729
218,Gold,recency,-0.8194324568423464
219,Gold,recency,-0.3801127623574378
220,Platinum,recency,-0.8025355455160038
221,Platinum,recency,-0.7518448115369759
222,Silver,recency,-0.7180509888842906
223,Silver,recency,-0.17734982644132607
224,Platinum,recency,-1.0390923040848008
225,Silver,recency,-0.4308034963364657
226,Bronze,recency,0.9040524984446031
227,Gold,recency,-0.6166695209262348
228,Silver,recency,0.24507295671724
229,Silver,recency,-0.04217453583058493
230,Gold,recency,-0.44770040766280833
231,Gold,recency,-0.29562820572572457
